Versión,Bloque (nxn),Prom (ms),Devest (ms),W
GPU Baseline,32,28.71,0.93,3
GPU v1.0,16,12.50,0.51,3
GPU v1.1,8,8.58,0.68,3
GPU v1.2,8,8.21,0.57,3
GPU v2.0,2,23.93,1.63,3
GPU v2.1,2,86.02,4.14,3
GPU v3,8,13.58,0.55,3
GPU v4.0,8,36.80,0.40,3
GPU v4.1,4,68.19,0.73,3
GPU Baseline,4,256.73,2.24,5
GPU v1.0,16,48.65,0.98,5
GPU v1.1,8,16.46,0.80,5
GPU v2.0,N/A,252.93,2.14,5
GPU v2.1,N/A,221.20,7.88,5
GPU v3,8,25.71,1.09,5
GPU v4.0,8,60.81,0.75,5
GPU v4.1,4,69.74,0.33,5
GPU Baseline,4,1074.14,2.13,7
GPU v1.0,32,165.66,0.54,7
GPU v1.1,8,40.55,0.76,7
GPU v2.0,N/A,2577.98,4.46,7
GPU v2.1,N/A,478.97,7.71,7
GPU v3,8,53.72,2.61,7
GPU v4.0,4,89.67,0.65,7
GPU v4.1,4,74.49,0.71,7
GPU v1.0,32,951.36,5.12,11
GPU v1.1,8,228.20,0.40,11
GPU v1.2,8,217.79,0.37,11
GPU v3,4,237.14,7.13,11
GPU v4.0,4,193.40,0.71,11
GPU v4.1,4,92.45,0.84,11
